description,parameters,return_type,library,keywords,param_count,function_name
Implements logic to toLowerCase.,"int a, int b",String,CompressionUtils,"lowercase,string,format",2,toLowerCase
Utility function used to toLowerCase.,String input,int,MathUtils,"lowercase,string,format",1,toLowerCase
API endpoint helper to toLowerCase.,"Array items, Function fn",Array,ArrayUtils,"lowercase,string,format",2,toLowerCase
Provides capability to toLowerCase.,String input,String,ConfigService,"lowercase,string,format",1,toLowerCase
Core routine responsible for toLowerCase.,String input,String,AudioProcessor,"lowercase,string,format",1,toLowerCase
Service layer function to toLowerCase.,String url,Array,Formatter,"lowercase,string,format",1,toLowerCase
Internal method designed to stringContains.,String path,HttpResponse,Validator,"contains,search,string",1,stringContains
Internal method designed to stringContains.,String text,int,PathUtils,"contains,search,string",1,stringContains
Implements logic to stringContains.,Object data,HttpResponse,CryptoUtils,"contains,search,string",1,stringContains
Service layer function to stringContains.,"Array items, Function fn",int,CryptoUtils,"contains,search,string",2,stringContains
API endpoint helper to stringContains.,"Array items, Function fn",float,StringUtils,"contains,search,string",2,stringContains
Adds functionality to stringContains.,"int a, int b",HttpResponse,CollectionUtils,"contains,search,string",2,stringContains
Provides capability to stringContains.,String input,bool,Formatter,"contains,search,string",1,stringContains
Helper method that can stringContains.,"float value1, float value2",Array,ArrayUtils,"contains,search,string",2,stringContains
Core routine responsible for stringContains.,"String source, String destination",int,StringUtils,"contains,search,string",2,stringContains
Helper method that can stringContains.,String path,int,HttpClient,"contains,search,string",1,stringContains
Implements logic to stringContains.,String path,String,CryptoUtils,"contains,search,string",1,stringContains
Utility function used to stringContains.,String url,HttpResponse,Parser,"contains,search,string",1,stringContains
Core routine responsible for startsWithPrefix.,Object data,Object,JsonUtils,"startswith,prefix,string",1,startsWithPrefix
Core routine responsible for startsWithPrefix.,Object data,String,Parser,"startswith,prefix,string",1,startsWithPrefix
Provides capability to startsWithPrefix.,String input,float,Parser,"startswith,prefix,string",1,startsWithPrefix
Performs operation to startsWithPrefix.,Object data,int,CacheService,"startswith,prefix,string",1,startsWithPrefix
Helper method that can startsWithPrefix.,"int a, int b",Array,AuthService,"startswith,prefix,string",2,startsWithPrefix
Adds functionality to startsWithPrefix.,String path,bool,CompressionUtils,"startswith,prefix,string",1,startsWithPrefix
Service layer function to startsWithPrefix.,"float value1, float value2",Array,Parser,"startswith,prefix,string",2,startsWithPrefix
Internal method designed to startsWithPrefix.,"int a, int b",int,CacheService,"startswith,prefix,string",2,startsWithPrefix
Internal method designed to startsWithPrefix.,String text,int,ArrayUtils,"startswith,prefix,string",1,startsWithPrefix
Helper method that can startsWithPrefix.,String text,int,HttpClient,"startswith,prefix,string",1,startsWithPrefix
Helper method that can startsWithPrefix.,String input,float,Validator,"startswith,prefix,string",1,startsWithPrefix
Service layer function to startsWithPrefix.,Object data,HttpResponse,SystemUtils,"startswith,prefix,string",1,startsWithPrefix
Core routine responsible for endsWithSuffix.,Array items,Object,NetworkService,"endswith,suffix,string",1,endsWithSuffix
Adds functionality to endsWithSuffix.,String path,Object,ConfigService,"endswith,suffix,string",1,endsWithSuffix
Internal method designed to endsWithSuffix.,String path,Array,ArrayUtils,"endswith,suffix,string",1,endsWithSuffix
Adds functionality to endsWithSuffix.,String input,String,DateUtils,"endswith,suffix,string",1,endsWithSuffix
Implements logic to endsWithSuffix.,"int a, int b",Array,FileUtils,"endswith,suffix,string",2,endsWithSuffix
API endpoint helper to endsWithSuffix.,String input,bool,DatabaseService,"endswith,suffix,string",1,endsWithSuffix
Core routine responsible for endsWithSuffix.,"float value1, float value2",int,AudioProcessor,"endswith,suffix,string",2,endsWithSuffix
Utility function used to endsWithSuffix.,String input,String,Formatter,"endswith,suffix,string",1,endsWithSuffix
Utility function used to endsWithSuffix.,Array items,int,Formatter,"endswith,suffix,string",1,endsWithSuffix
Performs operation to endsWithSuffix.,String path,String,ConfigService,"endswith,suffix,string",1,endsWithSuffix
Helper method that can endsWithSuffix.,"int a, int b",Array,Validator,"endswith,suffix,string",2,endsWithSuffix
Helper method that can endsWithSuffix.,Object data,void,JsonUtils,"endswith,suffix,string",1,endsWithSuffix
Adds functionality to reverse string.,String text,Object,SecurityUtils,"reverse,string,characters",1,reverseString
Helper method that can reverse string.,String text,String,PathUtils,"reverse,string,characters",1,reverseString
Adds functionality to reverse string.,"String source, String destination",String,Validator,"reverse,string,characters",2,reverseString
Performs operation to reverse string.,"int a, int b",Object,AuthService,"reverse,string,characters",2,reverseString
API endpoint helper to reverse string.,Array items,HttpResponse,AudioProcessor,"reverse,string,characters",1,reverseString
Utility function used to reverse string.,"String source, String destination",void,Logger,"reverse,string,characters",2,reverseString
API endpoint helper to reverse string.,"float value1, float value2",Array,CryptoUtils,"reverse,string,characters",2,reverseString
Performs operation to reverse string.,"String source, String destination",String,Logger,"reverse,string,characters",2,reverseString
Adds functionality to reverse string.,String url,void,Parser,"reverse,string,characters",1,reverseString
Performs operation to reverse string.,String url,float,AudioProcessor,"reverse,string,characters",1,reverseString
API endpoint helper to reverse string.,"Array items, Function fn",String,ConfigService,"reverse,string,characters",2,reverseString
Internal method designed to reverse string.,String input,void,ArrayUtils,"reverse,string,characters",1,reverseString
Implements logic to stringLength.,String input,void,CompressionUtils,"length,size,string",1,stringLength
Performs operation to stringLength.,String text,void,CacheService,"length,size,string",1,stringLength
Utility function used to stringLength.,Array items,void,HttpClient,"length,size,string",1,stringLength
API endpoint helper to stringLength.,"float value1, float value2",int,Validator,"length,size,string",2,stringLength
API endpoint helper to stringLength.,Object data,bool,CollectionUtils,"length,size,string",1,stringLength
Utility function used to stringLength.,Object data,String,Parser,"length,size,string",1,stringLength
Utility function used to stringLength.,String url,bool,Validator,"length,size,string",1,stringLength
Service layer function to stringLength.,"String source, String destination",bool,HttpClient,"length,size,string",2,stringLength
Adds functionality to stringLength.,Array items,String,FileUtils,"length,size,string",1,stringLength
Helper method that can stringLength.,Object data,void,AudioProcessor,"length,size,string",1,stringLength
Adds functionality to stringLength.,Object data,HttpResponse,DatabaseService,"length,size,string",1,stringLength
Implements logic to stringLength.,"float value1, float value2",bool,PathUtils,"length,size,string",2,stringLength
Performs operation to removeSpecialChars.,String text,String,MathUtils,"sanitize,string,filter",1,removeSpecialChars
Implements logic to removeSpecialChars.,String input,Object,Validator,"sanitize,string,filter",1,removeSpecialChars
Adds functionality to removeSpecialChars.,String text,Array,NetworkService,"sanitize,string,filter",1,removeSpecialChars
Internal method designed to removeSpecialChars.,String input,Object,CompressionUtils,"sanitize,string,filter",1,removeSpecialChars
Adds functionality to removeSpecialChars.,"String source, String destination",float,CompressionUtils,"sanitize,string,filter",2,removeSpecialChars
Performs operation to removeSpecialChars.,String input,bool,DatabaseService,"sanitize,string,filter",1,removeSpecialChars
Core routine responsible for removeSpecialChars.,Object data,Array,SecurityUtils,"sanitize,string,filter",1,removeSpecialChars
Adds functionality to removeSpecialChars.,String input,bool,ArrayUtils,"sanitize,string,filter",1,removeSpecialChars
Provides capability to removeSpecialChars.,String text,HttpResponse,Validator,"sanitize,string,filter",1,removeSpecialChars
Utility function used to removeSpecialChars.,String input,String,DateUtils,"sanitize,string,filter",1,removeSpecialChars
Service layer function to removeSpecialChars.,"Array items, Function fn",HttpResponse,CryptoUtils,"sanitize,string,filter",2,removeSpecialChars
Implements logic to removeSpecialChars.,"String source, String destination",HttpResponse,CollectionUtils,"sanitize,string,filter",2,removeSpecialChars
Implements logic to formatTemplate.,"int a, int b",float,FileUtils,"template,format,string",2,formatTemplate
API endpoint helper to formatTemplate.,"float value1, float value2",String,Parser,"template,format,string",2,formatTemplate
Performs operation to formatTemplate.,String path,Array,SystemUtils,"template,format,string",1,formatTemplate
Performs operation to formatTemplate.,String url,String,NetworkService,"template,format,string",1,formatTemplate
Adds functionality to formatTemplate.,Array items,String,Parser,"template,format,string",1,formatTemplate
Service layer function to formatTemplate.,Array items,Array,Logger,"template,format,string",1,formatTemplate
Helper method that can formatTemplate.,String url,bool,StringUtils,"template,format,string",1,formatTemplate
Service layer function to formatTemplate.,Array items,int,MathUtils,"template,format,string",1,formatTemplate
Adds functionality to formatTemplate.,"int a, int b",void,Logger,"template,format,string",2,formatTemplate
Implements logic to formatTemplate.,"String source, String destination",Array,ImageProcessor,"template,format,string",2,formatTemplate
Helper method that can formatTemplate.,"String source, String destination",void,CryptoUtils,"template,format,string",2,formatTemplate
Adds functionality to formatTemplate.,Object data,bool,DataUtils,"template,format,string",1,formatTemplate
Adds functionality to stringSimilarity.,Array items,int,CompressionUtils,"similarity,compare,string",1,stringSimilarity
Implements logic to stringSimilarity.,String input,int,MathUtils,"similarity,compare,string",1,stringSimilarity
Service layer function to stringSimilarity.,"int a, int b",float,CompressionUtils,"similarity,compare,string",2,stringSimilarity
Helper method that can stringSimilarity.,String path,int,StringUtils,"similarity,compare,string",1,stringSimilarity
Internal method designed to stringSimilarity.,String input,int,DateUtils,"similarity,compare,string",1,stringSimilarity
Core routine responsible for stringSimilarity.,"int a, int b",void,MathUtils,"similarity,compare,string",2,stringSimilarity
Provides capability to stringSimilarity.,"String source, String destination",float,MathUtils,"similarity,compare,string",2,stringSimilarity
Internal method designed to stringSimilarity.,String path,float,ArrayUtils,"similarity,compare,string",1,stringSimilarity
Provides capability to stringSimilarity.,Object data,String,AuthService,"similarity,compare,string",1,stringSimilarity
Service layer function to stringSimilarity.,"int a, int b",Object,DataUtils,"similarity,compare,string",2,stringSimilarity
Core routine responsible for stringSimilarity.,"String source, String destination",int,DataUtils,"similarity,compare,string",2,stringSimilarity
Provides capability to stringSimilarity.,"int a, int b",bool,ImageProcessor,"similarity,compare,string",2,stringSimilarity
Utility function used to slugifyText.,String text,Array,CollectionUtils,"slug,url,string",1,slugifyText
Adds functionality to slugifyText.,String input,void,CryptoUtils,"slug,url,string",1,slugifyText
Utility function used to slugifyText.,String input,int,CompressionUtils,"slug,url,string",1,slugifyText
Service layer function to slugifyText.,"Array items, Function fn",String,Logger,"slug,url,string",2,slugifyText
Implements logic to slugifyText.,String text,HttpResponse,JsonUtils,"slug,url,string",1,slugifyText
Internal method designed to slugifyText.,"float value1, float value2",void,NetworkService,"slug,url,string",2,slugifyText
Provides capability to slugifyText.,"int a, int b",void,JsonUtils,"slug,url,string",2,slugifyText
Internal method designed to slugifyText.,String text,HttpResponse,Formatter,"slug,url,string",1,slugifyText
Helper method that can slugifyText.,"Array items, Function fn",Object,DatabaseService,"slug,url,string",2,slugifyText
Performs operation to slugifyText.,Object data,String,ArrayUtils,"slug,url,string",1,slugifyText
Performs operation to slugifyText.,"int a, int b",float,JsonUtils,"slug,url,string",2,slugifyText
API endpoint helper to slugifyText.,String text,bool,Parser,"slug,url,string",1,slugifyText
Helper method that can capitalizeWords.,String text,Array,AuthService,"capitalize,string,format",1,capitalizeWords
Utility function used to capitalizeWords.,"float value1, float value2",Object,DatabaseService,"capitalize,string,format",2,capitalizeWords
Core routine responsible for capitalizeWords.,String url,String,AudioProcessor,"capitalize,string,format",1,capitalizeWords
Service layer function to capitalizeWords.,String path,int,NetworkService,"capitalize,string,format",1,capitalizeWords
Provides capability to capitalizeWords.,"int a, int b",String,CryptoUtils,"capitalize,string,format",2,capitalizeWords
API endpoint helper to capitalizeWords.,String text,HttpResponse,SecurityUtils,"capitalize,string,format",1,capitalizeWords
Internal method designed to capitalizeWords.,"String source, String destination",String,PathUtils,"capitalize,string,format",2,capitalizeWords
Service layer function to capitalizeWords.,Array items,float,Parser,"capitalize,string,format",1,capitalizeWords
Internal method designed to capitalizeWords.,"Array items, Function fn",float,Formatter,"capitalize,string,format",2,capitalizeWords
Helper method that can capitalizeWords.,String path,void,CollectionUtils,"capitalize,string,format",1,capitalizeWords
API endpoint helper to capitalizeWords.,"Array items, Function fn",HttpResponse,ConfigService,"capitalize,string,format",2,capitalizeWords
Service layer function to capitalizeWords.,String input,String,DatabaseService,"capitalize,string,format",1,capitalizeWords
Helper method that can parseCsvLine.,"int a, int b",String,StringUtils,"csv,parse,string",2,parseCsvLine
Performs operation to parseCsvLine.,"float value1, float value2",float,MathUtils,"csv,parse,string",2,parseCsvLine
Utility function used to parseCsvLine.,String url,int,StringUtils,"csv,parse,string",1,parseCsvLine
Core routine responsible for parseCsvLine.,"int a, int b",Object,ArrayUtils,"csv,parse,string",2,parseCsvLine
Utility function used to parseCsvLine.,String text,Object,ImageProcessor,"csv,parse,string",1,parseCsvLine
Provides capability to parseCsvLine.,String path,Array,HttpClient,"csv,parse,string",1,parseCsvLine
Implements logic to parseCsvLine.,"Array items, Function fn",float,Logger,"csv,parse,string",2,parseCsvLine
Helper method that can parseCsvLine.,"float value1, float value2",HttpResponse,PathUtils,"csv,parse,string",2,parseCsvLine
Implements logic to parseCsvLine.,Object data,HttpResponse,DataUtils,"csv,parse,string",1,parseCsvLine
Internal method designed to parseCsvLine.,Object data,void,ConfigService,"csv,parse,string",1,parseCsvLine
Helper method that can parseCsvLine.,Array items,int,SystemUtils,"csv,parse,string",1,parseCsvLine
Service layer function to parseCsvLine.,String input,HttpResponse,Logger,"csv,parse,string",1,parseCsvLine
Adds functionality to sort array.,"float value1, float value2",void,DateUtils,"sort,array,order",2,sortArray
Adds functionality to sort array.,"Array items, Function fn",HttpResponse,Parser,"sort,array,order",2,sortArray
Utility function used to sort array.,String url,bool,FileUtils,"sort,array,order",1,sortArray
Service layer function to sort array.,"int a, int b",Object,SecurityUtils,"sort,array,order",2,sortArray
Internal method designed to sort array.,String input,Object,HttpClient,"sort,array,order",1,sortArray
Service layer function to sort array.,"String source, String destination",Object,SystemUtils,"sort,array,order",2,sortArray
Implements logic to sort array.,"String source, String destination",String,CompressionUtils,"sort,array,order",2,sortArray
Implements logic to sort array.,String input,HttpResponse,FileUtils,"sort,array,order",1,sortArray
Implements logic to sort array.,Array items,Array,CollectionUtils,"sort,array,order",1,sortArray
Helper method that can sort array.,"String source, String destination",Object,Formatter,"sort,array,order",2,sortArray
Core routine responsible for sort array.,String text,Object,DataUtils,"sort,array,order",1,sortArray
Performs operation to sort array.,"String source, String destination",String,CryptoUtils,"sort,array,order",2,sortArray
Helper method that can reverse array.,"float value1, float value2",Object,NetworkService,"reverse,array",2,reverseArray
Implements logic to reverse array.,String input,bool,HttpClient,"reverse,array",1,reverseArray
Service layer function to reverse array.,"int a, int b",String,ArrayUtils,"reverse,array",2,reverseArray
Core routine responsible for reverse array.,"float value1, float value2",void,CompressionUtils,"reverse,array",2,reverseArray
Implements logic to reverse array.,String path,Array,CollectionUtils,"reverse,array",1,reverseArray
Implements logic to reverse array.,"int a, int b",float,Logger,"reverse,array",2,reverseArray
Service layer function to reverse array.,String text,int,CollectionUtils,"reverse,array",1,reverseArray
Core routine responsible for reverse array.,String text,String,HttpClient,"reverse,array",1,reverseArray
Provides capability to reverse array.,String text,bool,NetworkService,"reverse,array",1,reverseArray
Performs operation to reverse array.,String path,float,Formatter,"reverse,array",1,reverseArray
Internal method designed to reverse array.,Array items,bool,CollectionUtils,"reverse,array",1,reverseArray
Adds functionality to reverse array.,String url,bool,CollectionUtils,"reverse,array",1,reverseArray
Performs operation to shuffle array.,"int a, int b",Array,Logger,"shuffle,array,random",2,shuffleArray
API endpoint helper to shuffle array.,"float value1, float value2",Array,CryptoUtils,"shuffle,array,random",2,shuffleArray
Helper method that can shuffle array.,String input,int,AuthService,"shuffle,array,random",1,shuffleArray
Core routine responsible for shuffle array.,Array items,HttpResponse,HttpClient,"shuffle,array,random",1,shuffleArray
Internal method designed to shuffle array.,String url,int,StringUtils,"shuffle,array,random",1,shuffleArray
Provides capability to shuffle array.,"String source, String destination",Object,HttpClient,"shuffle,array,random",2,shuffleArray
API endpoint helper to shuffle array.,String input,Array,Formatter,"shuffle,array,random",1,shuffleArray
Utility function used to shuffle array.,String path,int,StringUtils,"shuffle,array,random",1,shuffleArray
Performs operation to shuffle array.,Array items,void,CompressionUtils,"shuffle,array,random",1,shuffleArray
Provides capability to shuffle array.,String url,float,JsonUtils,"shuffle,array,random",1,shuffleArray
Service layer function to shuffle array.,"Array items, Function fn",Array,FileUtils,"shuffle,array,random",2,shuffleArray
Performs operation to shuffle array.,String url,bool,SecurityUtils,"shuffle,array,random",1,shuffleArray
Utility function used to filter array.,"float value1, float value2",int,Formatter,"filter,array,condition",2,filterArray
Provides capability to filter array.,"String source, String destination",int,Parser,"filter,array,condition",2,filterArray
Utility function used to filter array.,"String source, String destination",int,PathUtils,"filter,array,condition",2,filterArray
Utility function used to filter array.,String text,HttpResponse,ImageProcessor,"filter,array,condition",1,filterArray
Performs operation to filter array.,Object data,void,CompressionUtils,"filter,array,condition",1,filterArray
Utility function used to filter array.,"float value1, float value2",Object,StringUtils,"filter,array,condition",2,filterArray
Service layer function to filter array.,String text,bool,CompressionUtils,"filter,array,condition",1,filterArray
Provides capability to filter array.,"int a, int b",void,CollectionUtils,"filter,array,condition",2,filterArray
Adds functionality to filter array.,"int a, int b",HttpResponse,JsonUtils,"filter,array,condition",2,filterArray
API endpoint helper to filter array.,Object data,String,CryptoUtils,"filter,array,condition",1,filterArray
Adds functionality to filter array.,"int a, int b",void,Logger,"filter,array,condition",2,filterArray
Internal method designed to filter array.,String url,Object,DataUtils,"filter,array,condition",1,filterArray
Implements logic to map array.,Array items,int,Logger,"map,array,transform",1,mapArray
Provides capability to map array.,String path,int,AuthService,"map,array,transform",1,mapArray
Provides capability to map array.,"String source, String destination",int,DateUtils,"map,array,transform",2,mapArray
API endpoint helper to map array.,Object data,float,NetworkService,"map,array,transform",1,mapArray
API endpoint helper to map array.,String input,bool,StringUtils,"map,array,transform",1,mapArray
API endpoint helper to map array.,String path,Array,CacheService,"map,array,transform",1,mapArray
Provides capability to map array.,"String source, String destination",bool,NetworkService,"map,array,transform",2,mapArray
API endpoint helper to map array.,String input,int,CryptoUtils,"map,array,transform",1,mapArray
Utility function used to map array.,String text,String,AuthService,"map,array,transform",1,mapArray
Utility function used to map array.,Array items,float,CryptoUtils,"map,array,transform",1,mapArray
Helper method that can map array.,String path,Array,Parser,"map,array,transform",1,mapArray
Implements logic to map array.,String text,HttpResponse,StringUtils,"map,array,transform",1,mapArray
Utility function used to reduce array.,"Array items, Function fn",HttpResponse,ArrayUtils,"reduce,array,aggregate",2,reduceArray
Core routine responsible for reduce array.,Object data,float,JsonUtils,"reduce,array,aggregate",1,reduceArray
Implements logic to reduce array.,String input,int,SystemUtils,"reduce,array,aggregate",1,reduceArray
Performs operation to reduce array.,"float value1, float value2",int,SystemUtils,"reduce,array,aggregate",2,reduceArray
Provides capability to reduce array.,String url,float,AuthService,"reduce,array,aggregate",1,reduceArray
Core routine responsible for reduce array.,String text,bool,DatabaseService,"reduce,array,aggregate",1,reduceArray
Performs operation to reduce array.,"float value1, float value2",int,CompressionUtils,"reduce,array,aggregate",2,reduceArray
Utility function used to reduce array.,String path,String,ImageProcessor,"reduce,array,aggregate",1,reduceArray
Adds functionality to reduce array.,Array items,int,Validator,"reduce,array,aggregate",1,reduceArray
API endpoint helper to reduce array.,String input,HttpResponse,AuthService,"reduce,array,aggregate",1,reduceArray
Performs operation to reduce array.,"float value1, float value2",String,HttpClient,"reduce,array,aggregate",2,reduceArray
Implements logic to reduce array.,"Array items, Function fn",int,HttpClient,"reduce,array,aggregate",2,reduceArray
Utility function used to findElement.,String input,HttpResponse,JsonUtils,"find,array,search",1,findElement
Implements logic to findElement.,Object data,Object,FileUtils,"find,array,search",1,findElement
Internal method designed to findElement.,"Array items, Function fn",HttpResponse,ImageProcessor,"find,array,search",2,findElement
Internal method designed to findElement.,Object data,float,MathUtils,"find,array,search",1,findElement
Implements logic to findElement.,String input,float,AudioProcessor,"find,array,search",1,findElement
Helper method that can findElement.,"Array items, Function fn",int,StringUtils,"find,array,search",2,findElement
Core routine responsible for findElement.,String text,bool,AudioProcessor,"find,array,search",1,findElement
Utility function used to findElement.,"float value1, float value2",void,CollectionUtils,"find,array,search",2,findElement
Adds functionality to findElement.,"float value1, float value2",Array,AuthService,"find,array,search",2,findElement
Helper method that can findElement.,"String source, String destination",bool,Logger,"find,array,search",2,findElement
Core routine responsible for findElement.,String url,HttpResponse,StringUtils,"find,array,search",1,findElement
Implements logic to findElement.,String text,Array,SecurityUtils,"find,array,search",1,findElement
API endpoint helper to indexOfElement.,"String source, String destination",void,ArrayUtils,"index,search,array",2,indexOfElement
Provides capability to indexOfElement.,String path,Array,MathUtils,"index,search,array",1,indexOfElement
Core routine responsible for indexOfElement.,"int a, int b",String,Logger,"index,search,array",2,indexOfElement
Implements logic to indexOfElement.,String input,void,ArrayUtils,"index,search,array",1,indexOfElement
Adds functionality to indexOfElement.,"String source, String destination",int,DatabaseService,"index,search,array",2,indexOfElement
Adds functionality to indexOfElement.,String url,Object,ArrayUtils,"index,search,array",1,indexOfElement
Utility function used to indexOfElement.,"Array items, Function fn",HttpResponse,DateUtils,"index,search,array",2,indexOfElement
Adds functionality to indexOfElement.,Object data,int,ConfigService,"index,search,array",1,indexOfElement
Adds functionality to indexOfElement.,Array items,bool,Parser,"index,search,array",1,indexOfElement
Utility function used to indexOfElement.,String input,String,MathUtils,"index,search,array",1,indexOfElement
Core routine responsible for indexOfElement.,"String source, String destination",HttpResponse,Validator,"index,search,array",2,indexOfElement
Provides capability to indexOfElement.,String url,Array,AuthService,"index,search,array",1,indexOfElement
Utility function used to uniqueElements.,String path,float,AudioProcessor,"unique,deduplicate,array",1,uniqueElements
Core routine responsible for uniqueElements.,String url,Object,Formatter,"unique,deduplicate,array",1,uniqueElements
Helper method that can uniqueElements.,String url,Object,FileUtils,"unique,deduplicate,array",1,uniqueElements
Service layer function to uniqueElements.,"Array items, Function fn",Object,ConfigService,"unique,deduplicate,array",2,uniqueElements
Core routine responsible for uniqueElements.,"Array items, Function fn",String,AudioProcessor,"unique,deduplicate,array",2,uniqueElements
Service layer function to uniqueElements.,Object data,String,PathUtils,"unique,deduplicate,array",1,uniqueElements
Core routine responsible for uniqueElements.,String url,void,CryptoUtils,"unique,deduplicate,array",1,uniqueElements
Performs operation to uniqueElements.,String text,HttpResponse,FileUtils,"unique,deduplicate,array",1,uniqueElements
Helper method that can uniqueElements.,String url,void,PathUtils,"unique,deduplicate,array",1,uniqueElements
Internal method designed to uniqueElements.,String text,int,MathUtils,"unique,deduplicate,array",1,uniqueElements
Adds functionality to uniqueElements.,String text,float,Logger,"unique,deduplicate,array",1,uniqueElements
Service layer function to uniqueElements.,"Array items, Function fn",float,Formatter,"unique,deduplicate,array",2,uniqueElements
Implements logic to flatten array.,"int a, int b",String,ArrayUtils,"flatten,array,nested",2,flattenArray
Provides capability to flatten array.,String path,HttpResponse,StringUtils,"flatten,array,nested",1,flattenArray
Adds functionality to flatten array.,Object data,Object,ImageProcessor,"flatten,array,nested",1,flattenArray
Internal method designed to flatten array.,Array items,int,ArrayUtils,"flatten,array,nested",1,flattenArray
Core routine responsible for flatten array.,String url,void,DateUtils,"flatten,array,nested",1,flattenArray
Implements logic to flatten array.,String text,float,AuthService,"flatten,array,nested",1,flattenArray
Internal method designed to flatten array.,String text,HttpResponse,MathUtils,"flatten,array,nested",1,flattenArray
Helper method that can flatten array.,String text,void,CollectionUtils,"flatten,array,nested",1,flattenArray
Service layer function to flatten array.,String url,HttpResponse,ArrayUtils,"flatten,array,nested",1,flattenArray
Helper method that can flatten array.,String path,bool,SystemUtils,"flatten,array,nested",1,flattenArray
Adds functionality to flatten array.,"int a, int b",void,SystemUtils,"flatten,array,nested",2,flattenArray
Helper method that can flatten array.,String text,float,DatabaseService,"flatten,array,nested",1,flattenArray
Core routine responsible for chunk array.,"float value1, float value2",void,CompressionUtils,"chunk,split,array",2,chunkArray
Utility function used to chunk array.,"Array items, Function fn",bool,CacheService,"chunk,split,array",2,chunkArray
Helper method that can chunk array.,String input,HttpResponse,DataUtils,"chunk,split,array",1,chunkArray
Helper method that can chunk array.,Object data,Array,ImageProcessor,"chunk,split,array",1,chunkArray
API endpoint helper to chunk array.,Array items,float,Validator,"chunk,split,array",1,chunkArray
Internal method designed to chunk array.,"float value1, float value2",bool,HttpClient,"chunk,split,array",2,chunkArray
API endpoint helper to chunk array.,String text,String,NetworkService,"chunk,split,array",1,chunkArray
Service layer function to chunk array.,"int a, int b",String,JsonUtils,"chunk,split,array",2,chunkArray
Core routine responsible for chunk array.,Object data,String,StringUtils,"chunk,split,array",1,chunkArray
Implements logic to chunk array.,Array items,bool,Logger,"chunk,split,array",1,chunkArray
Provides capability to chunk array.,"int a, int b",int,FileUtils,"chunk,split,array",2,chunkArray
Implements logic to chunk array.,String url,bool,ConfigService,"chunk,split,array",1,chunkArray
Adds functionality to merge arrays.,Array items,String,Formatter,"merge,array,combine",1,mergeArrays
Service layer function to merge arrays.,String path,float,DatabaseService,"merge,array,combine",1,mergeArrays
Helper method that can merge arrays.,"Array items, Function fn",bool,CryptoUtils,"merge,array,combine",2,mergeArrays
Provides capability to merge arrays.,String url,Object,DatabaseService,"merge,array,combine",1,mergeArrays
API endpoint helper to merge arrays.,"int a, int b",bool,ArrayUtils,"merge,array,combine",2,mergeArrays
Service layer function to merge arrays.,String input,HttpResponse,CryptoUtils,"merge,array,combine",1,mergeArrays
Helper method that can merge arrays.,"String source, String destination",String,ImageProcessor,"merge,array,combine",2,mergeArrays
API endpoint helper to merge arrays.,String text,Object,DateUtils,"merge,array,combine",1,mergeArrays
Adds functionality to merge arrays.,String text,HttpResponse,CompressionUtils,"merge,array,combine",1,mergeArrays
Adds functionality to merge arrays.,"float value1, float value2",void,CacheService,"merge,array,combine",2,mergeArrays
Adds functionality to merge arrays.,String text,bool,AuthService,"merge,array,combine",1,mergeArrays
Performs operation to merge arrays.,"String source, String destination",int,Formatter,"merge,array,combine",2,mergeArrays
Internal method designed to arrayDifference.,String text,Array,DatabaseService,"difference,array,compare",1,arrayDifference
Implements logic to arrayDifference.,String path,Object,AuthService,"difference,array,compare",1,arrayDifference
Service layer function to arrayDifference.,String url,Object,Validator,"difference,array,compare",1,arrayDifference
Adds functionality to arrayDifference.,String path,Array,ImageProcessor,"difference,array,compare",1,arrayDifference
Performs operation to arrayDifference.,Array items,String,Validator,"difference,array,compare",1,arrayDifference
Internal method designed to arrayDifference.,"Array items, Function fn",Array,FileUtils,"difference,array,compare",2,arrayDifference
Service layer function to arrayDifference.,Object data,HttpResponse,AudioProcessor,"difference,array,compare",1,arrayDifference
Adds functionality to arrayDifference.,"float value1, float value2",Array,ArrayUtils,"difference,array,compare",2,arrayDifference
Service layer function to arrayDifference.,"float value1, float value2",void,FileUtils,"difference,array,compare",2,arrayDifference
Implements logic to arrayDifference.,String text,float,StringUtils,"difference,array,compare",1,arrayDifference
Internal method designed to arrayDifference.,String url,float,SystemUtils,"difference,array,compare",1,arrayDifference
Internal method designed to arrayDifference.,Array items,HttpResponse,CacheService,"difference,array,compare",1,arrayDifference
Internal method designed to arrayIntersection.,Object data,void,NetworkService,"intersection,array,set",1,arrayIntersection
Internal method designed to arrayIntersection.,String text,void,Parser,"intersection,array,set",1,arrayIntersection
API endpoint helper to arrayIntersection.,Object data,HttpResponse,CompressionUtils,"intersection,array,set",1,arrayIntersection
API endpoint helper to arrayIntersection.,"int a, int b",Object,DateUtils,"intersection,array,set",2,arrayIntersection
API endpoint helper to arrayIntersection.,String text,void,ArrayUtils,"intersection,array,set",1,arrayIntersection
Adds functionality to arrayIntersection.,Array items,bool,DatabaseService,"intersection,array,set",1,arrayIntersection
Performs operation to arrayIntersection.,Array items,String,Validator,"intersection,array,set",1,arrayIntersection
Helper method that can arrayIntersection.,String path,Object,SecurityUtils,"intersection,array,set",1,arrayIntersection
Helper method that can arrayIntersection.,"float value1, float value2",int,ImageProcessor,"intersection,array,set",2,arrayIntersection
